id,cat.number,cat.age,bw,pure.mixed,breed,pedigree,hair.length,sex,neuter.status,neutering.age,cat.source,council.registered,insured,last.flea.tx,bcs.owner,bcs.owner.fig,bcs.vet,bw.monitoring,feeding.frq,feeding.frq.bi,leftover,frq.dry,frq.canned,frq.wet,frq.homemade,frq.humanfood,frq.snack,fre.major,fre.major.cat,quant.no.rule,quant.vet,quant.package,quant.cat.eats,quant.more.than.cat,quant.cat.bw,quant.cat.bcs,quant.experience,quant.breeder.carer,quant.web,neighbour.food,beg.food,give.in.beg,indoor,yard,street,hunt.old,hunt.new,hunt.bi,prey.bird,prey.l.mammal,prey.s.mammal,prey.insect,prey.lizard.frog,prey,night,rt.cubby.cute,rt.fat.cute,rt.chubby.happy,rt.fat.happy,rt.chubby.dz,rt.fat.dz,rt.chubby.fine,rt.fat.fine,rt.happy.than.fit,rt.chubby.unhealth,rt.fat.unhealth,rt.control.bw,rt.chubby.qol,rt.fat.qol,purpose.for.getting.cat,benefit.human.wp,benefit.human.wop,benefit.aniaml.wp,benefit.aniaml.wop,benefit.pest.wp,benefit.pest.wop,benefit.show.wp,benefit.show.wop,benefit.mental,benefit.none,benefit.other,benefit.sum,frq.patting,frq.play,frq.same.space,time.w.cat,satisfication,closeness,vet.health.check,vet.shot,vet.sick,vet.chronic.ill,vet.deworm.flea,vet.none.ill,vet.boarding,vet.sum,gender,live.in.aus,live.in.aus.bi,urban.rural,state,home.type,age.range,household,education,prof.no.aniaml,prof.vet,prof.ngo,prof.pet,prof.livestocks,prof.wildlife,prof.captive.wild,prof.other,prof.cat,q.source
80,1,7,NA,1,Mixed,1,1,1,2,3,friend,2,1,2,3,4,3,3,2,1,2,3,1,3,1,1,1,dry.wet,dry.wet,0,0,0,1,0,0,0,0,0,0,1,2,2,3,3,2,2,2,2,0,0,1,1,0,s,1,-2,-4,-2,-4,2,-4,-2,-4,sd,-2,-2,-3,-2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
81,3,5,5.6,2,Ragdoll,1,3,1,2,2,petshop,1,1,3,3,0,3,1,2,1,3,4,1,1,1,1,1,dry,dry,1,0,0,0,0,0,0,0,0,0,1,2,4,4,2,1,1,1,1,0,0,0,0,0,nh,1,0,0,-2,-2,-2,-4,-1,-4,d,-2,-4,-1.5,-2,-2,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,4,3,3,10,5,5,0,2,1,0,0,0,0,3,1,2,2,2,3,2,2,c.wo.d.c,1,0,0,0,0,0,0,0,0,0,social.m
82,12,3,3.5,2,Snowshoe,2,1,2,2,1,breeder,1,1,2,3,3,3,1,5,2,2,3,,2,,,,dry,dry,0,0,0,0,1,0,0,0,0,0,1,2,2,4,,,1,1,1,0,0,0,0,0,nh,1,-1,-2,0,-2,1,2,-1,-2,d,1,2,-1.5,-1,-2,companion.h,1,0,1,1,0,0,1,1,0,0,0,2,3,3,3,9,5,5,0,2,1,0,0,0,0,3,1,2,2,1,3,3,5,s.ps,2,1,0,0,1,0,0,0,0,1,social.m
83,3,2,4,2,Siamese,2,1,2,1,,breeder,2,1,1,3,1,3,4,2,1,1,2,1,3,2,2,2,wet,wet,0,1,1,1,0,1,1,0,0,0,1,2,1,4,3,1,1,1,1,0,0,0,0,0,nh,1,-2,-4,-2,-4,0,0,-2,-4,sa,-2,-4,-3,-2,-4,companion.h,1,0,0,0,0,0,1,1,0,0,0,1,3,3,4,10,5,5,0,2,1,0,0,0,0,3,1,2,2,1,4,3,6,c.wo.d.c,3,0,0,0,0,0,0,0,0,0,survey.m
84,1,2,4,1,Mixed,1,3,1,2,3,shelter,2,1,1,3,3,3,3,2,1,4,4,1,1,1,1,2,dry,dry,1,0,0,1,0,0,0,0,0,0,1,3,3,4,2,1,5,5,2,0,0,0,1,1,s,1,1,2,1,2,-1,-2,1,2,n,0,-2,-3,1,2,companion.h,1,0,1,1,1,1,0,0,0,0,0,2,3,3,3,9,4,5,2,1,0,0,0,0,0,3,2,2,2,1,4,3,2,c.wo.d.c,3,0,0,0,0,0,0,0,0,0,social.m
85,1,4,3.1,1,Mixed,1,2,1,2,0,street,1,1,3,3,3,3,2,1,1,2,3,3,3,,1,2,dry.can.wet,dry.wet,0,0,0,0,0,1,0,0,0,0,2,1,1,3,3,2,3,3,2,0,0,1,0,0,s,5,1,2,0,0,0,0,0,-2,d,1,0,1.5,0,0,cat.came,1,1,0,0,0,0,0,0,0,0,0,1,4,3,4,11,5,5,1,0,1,0,0,0,0,2,1,2,2,1,2,3,3,c.wo.d.c,3,0,0,0,0,0,0,0,0,0,social.m
86,2,13,5,1,Mixed,1,1,2,2,2,shelter,1,1,3,3,2,0,1,2,1,4,3,2,1,1,1,1,dry,dry,0,0,0,1,0,0,0,0,0,0,2,3,4,3,3,0,2,2,2,1,0,0,0,0,l,2,-1,-2,0,-2,1,2,-1,-2,d,-1,-2,-1.5,-1,-2,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,8,5,5,0,0,1,0,0,0,0,1,1,2,2,1,4,3,3,c.w.d.c,3,0,0,0,0,0,0,0,0,0,social.m
87,2,2,2.5,2,Domestic Medium Hair,2,2,1,2,3,friend,2,1,1,3,3,0,2,3,1,2,2,,3,,,,wet,wet,0,0,0,0,0,0,1,0,0,0,1,2,2,4,2,1,2,2,2,0,0,0,1,0,s,1,1,2,-1,-2,1,0,-1,-2,,1,-2,-1.5,-1,-2,companion.h,1,0,0,0,1,1,0,0,0,0,0,1,4,3,4,11,5,5,0,0,0,1,2,0,0,3,1,2,2,2,4,3,1,w.p,3,1,1,0,0,0,0,0,0,1,social.m
88,2,4,5,2,Snowshoe,1,2,1,2,2,friend,2,1,2,4,,3.5,2,2,1,1,3,1,1,1,1,2,dry,dry,0,0,0,0,1,0,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
89,1,2,6,1,Mixed,1,2,1,2,3,shelter,2,1,1,4,4,4,1,4,1,1,2,3,1,1,1,1,can,wet,0,0,1,1,0,1,1,0,0,0,4,3,2,3,2,1,5,5,2,0,0,0,1,0,s,1,-1,-2,-2,-4,-1,-2,-1,0,d,-1,-2,-1.5,-1,-4,companion.h,1,0,0,0,1,1,0,0,0,0,0,1,4,4,4,12,5,5,2,0,1,0,0,0,0,3,1,2,2,2,1,3,1,w.p,3,0,0,0,0,0,0,0,0,0,social.m
